[Gene ID]	[Transcript ID]	[Product Description]	[Gene Type]	[Gene Name or Symbol]	[Entrez Gene ID]	[UniProt ID]	
PF3D7_0105400	PF3D7_0105400.2	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0105500	PF3D7_0105500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0105600	PF3D7_0105600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0105700	PF3D7_0105700.1	asparagine-rich antigen Pfa35-2	protein coding	N/A	N/A	N/A	
PF3D7_0105800	PF3D7_0105800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0105900	PF3D7_0105900.1	DNA binding protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0106000	PF3D7_0106000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0106100	PF3D7_0106100.1	V-type proton ATPase subunit C, putative	protein coding	N/A	N/A	N/A	
PF3D7_0106200	PF3D7_0106200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0106300	PF3D7_0106300.1	calcium-transporting ATPase	protein coding	ATP6	N/A	N/A	
PF3D7_0106400	PF3D7_0106400.1	pre-rRNA-processing protein TSR2, putative	protein coding	N/A	N/A	N/A	
PF3D7_0106500	PF3D7_0106500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0106600	PF3D7_0106600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0106700	PF3D7_0106700.1	small ribosomal subunit assembling AARP2 protein	protein coding	AARP2	N/A	N/A	
PF3D7_0106800	PF3D7_0106800.1	ras-related protein Rab-5C	protein coding	RAB5c	N/A	N/A	
PF3D7_0106900	PF3D7_0106900.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	protein coding	IspD	N/A	N/A	
PF3D7_0107000	PF3D7_0107000.1	centrin-1	protein coding	CEN1	N/A	N/A	
PF3D7_0107100	PF3D7_0107100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0107200	PF3D7_0107200.1	carbon catabolite repressor protein 4, putative	protein coding	N/A	N/A	N/A	
PF3D7_0107300	PF3D7_0107300.1	probable protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0107400	PF3D7_0107400.1	conserved Apicomplexan protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0107500	PF3D7_0107500.1	lipid/sterol:H+ symporter	protein coding	N/A	N/A	N/A	
PF3D7_0107600	PF3D7_0107600.1	serine/threonine protein kinase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0107700	PF3D7_0107700.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0107800	PF3D7_0107800.1	double-strand break repair protein MRE11	protein coding	MRE11	N/A	N/A	
PF3D7_0107900	PF3D7_0107900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0108000	PF3D7_0108000.1	proteasome subunit beta type-3, putative	protein coding	N/A	N/A	N/A	
PF3D7_0108100	PF3D7_0108100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0108300	PF3D7_0108300.1	conserved Plasmodium protein, unknown function	protein coding	ARP	N/A	N/A	
PF3D7_0108400	PF3D7_0108400.1	mitochondrial carrier protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0108400	PF3D7_0108400.2	mitochondrial carrier protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0108500	PF3D7_0108500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0108600	PF3D7_0108600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0108700	PF3D7_0108700.1	secreted ookinete protein, putative	protein coding	PSOP24	N/A	N/A	
PF3D7_0108800	PF3D7_0108800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0108900	PF3D7_0108900.1	unspecified product	non protein coding	N/A	N/A	N/A	
PF3D7_0109000	PF3D7_0109000.1	photosensitized INA-labeled protein PHIL1, putative	protein coding	PHIL1	N/A	N/A	
PF3D7_0109100	PF3D7_0109100.1	LCCL domain-containing protein	protein coding	CCp5	N/A	N/A	
PF3D7_0109200	PF3D7_0109200.1	cleavage and polyadenylation specificity factor subunit 5, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109300	PF3D7_0109300.1	fatty acid elongation protein, GNS1/SUR4 family, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109400	PF3D7_0109400.1	tubulin-specific chaperone a, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109500	PF3D7_0109500.1	N-acetyltransferase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109600	PF3D7_0109600.1	cold-shock protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109700	PF3D7_0109700.1	rRNA biogenesis protein RRP36, putative	protein coding	RRP36	N/A	N/A	
PF3D7_0109800	PF3D7_0109800.1	phenylalanine--tRNA ligase alpha subunit	protein coding	N/A	N/A	N/A	
PF3D7_0109850	PF3D7_0109850.1	phosphatidate cytidylyltransferase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0109950	PF3D7_0109950.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0110000	PF3D7_0110000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0110100	PF3D7_0110100.1	selenocysteine-specific elongation factor selB homologue, putative	protein coding	N/A	N/A	N/A	
PF3D7_0110200	PF3D7_0110200.1	FAD-linked sulfhydryl oxidase ERV1, putative	protein coding	ERV1	N/A	N/A	
PF3D7_0110300	PF3D7_0110300.1	Plasmodium RNA of unknown function RUF5	non protein coding	N/A	N/A	N/A	
PF3D7_0110400	PF3D7_0110400.1	DNA-directed RNA polymerase II subunit RPB9, putative	protein coding	RPB9	N/A	N/A	
PF3D7_0110500	PF3D7_0110500.1	bromodomain protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0110600	PF3D7_0110600.1	phosphatidylinositol-4-phosphate 5-kinase	protein coding	PIP5K	N/A	N/A	
PF3D7_0110700	PF3D7_0110700.1	chromatin assembly factor 1 protein WD40 domain, putative	protein coding	N/A	N/A	N/A	
PF3D7_0110800	PF3D7_0110800.1	transcription initiation factor TFIIB, putative	protein coding	N/A	N/A	N/A	
PF3D7_0110900	PF3D7_0110900.1	adenylate kinase-like protein 1	protein coding	AKLP1	N/A	N/A	
PF3D7_0111000	PF3D7_0111000.1	kinesin-8, putative	protein coding	N/A	N/A	N/A	
PF3D7_0111200	PF3D7_0111200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0111300	PF3D7_0111300.1	replication factor c protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0111400	PF3D7_0111400.1	conserved Plasmodium protein, unknown function	protein coding	GEXP19	N/A	N/A	
PF3D7_0111500	PF3D7_0111500.1	UMP-CMP kinase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0111600	PF3D7_0111600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0111700	PF3D7_0111700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0111800	PF3D7_0111800.1	eukaryotic translation initiation factor 4E, putative	protein coding	N/A	N/A	N/A	
PF3D7_0111900	PF3D7_0111900.1	conserved protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0112000	PF3D7_0112000.1	TatD-like deoxyribonuclease	protein coding	TatD	N/A	N/A	
PF3D7_0112100	PF3D7_0112100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0112200	PF3D7_0112200.1	multidrug resistance-associated protein 1	protein coding	MRP1	N/A	N/A	
PF3D7_0112300	PF3D7_0112300.1	18S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0112400	PF3D7_0112400.1	unspecified product	rRNA encoding	N/A	N/A	N/A	
PF3D7_0112500	PF3D7_0112500.1	5.8S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0112600	PF3D7_0112600.1	unspecified product	rRNA encoding	N/A	N/A	N/A	
PF3D7_0112700	PF3D7_0112700.1	28S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0112800	PF3D7_0112800.1	Plasmodium exported protein (hyp11), unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0112900	PF3D7_0112900.1	Plasmodium exported protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0113000	PF3D7_0113000.1	glutamic acid-rich protein	protein coding	GARP	N/A	N/A	
PF3D7_0113100	PF3D7_0113100.1	surface-associated interspersed protein 1.1 (SURFIN 1.1)	protein coding	SURF1.1	N/A	N/A	
PF3D7_0113200	PF3D7_0113200.1	Plasmodium exported protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0113300	PF3D7_0113300.1	Plasmodium exported protein (hyp1), unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0113400	PF3D7_0113400.1	Plasmodium exported protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0113600	PF3D7_0113600.1	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene	protein coding	SURF1.2	N/A	N/A	
PF3D7_0113700	PF3D7_0113700.1	heat shock protein 40, type II	protein coding	HSP40	N/A	N/A	
PF3D7_0113800	PF3D7_0113800.1	DBL containing protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0113900	PF3D7_0113900.1	Plasmodium exported protein (hyp8), unknown function	protein coding	GEXP10	N/A	N/A	
PF3D7_0114000	PF3D7_0114000.1	exported protein family 1	protein coding	EPF1	N/A	N/A	
PF3D7_0114100	PF3D7_0114100.1	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding	MC-2TM	N/A	N/A	
PF3D7_0114200	PF3D7_0114200.1	exported protein family 3	protein coding	EPF3	N/A	N/A	
PF3D7_0114300	PF3D7_0114300.1	exported protein family 4, pseudogene	protein coding	EPF4	N/A	N/A	
PF3D7_0114400	PF3D7_0114400.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	VAR	N/A	N/A	
PF3D7_0114500	PF3D7_0114500.1	Plasmodium exported protein (hyp10), unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0114600	PF3D7_0114600.1	stevor, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0114700	PF3D7_0114700.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0114800	PF3D7_0114800.1	Plasmodium exported protein (hyp7), unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0114900	PF3D7_0114900.1	Plasmodium exported protein, unknown function, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0115000	PF3D7_0115000.1	surface-associated interspersed protein 1.3 (SURFIN 1.3)	protein coding	SURF1.3	N/A	N/A	
PF3D7_0115050	PF3D7_0115050.1	H/ACA snoRNA	snoRNA encoding	N/A	N/A	N/A	
PF3D7_0115100	PF3D7_0115100.1	Plasmodium exported protein (PHISTa), unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0115150	PF3D7_0115150.1	Plasmodium exported protein, unknown function, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0115200	PF3D7_0115200.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0115300	PF3D7_0115300.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0115400	PF3D7_0115400.1	stevor	protein coding	N/A	N/A	N/A	
PF3D7_0115500	PF3D7_0115500.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0115600	PF3D7_0115600.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0115700	PF3D7_0115700.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	N/A	N/A	
PF3D7_0200100	PF3D7_0200100.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	812597	O96108	
PF3D7_0200200	PF3D7_0200200.1	rifin	protein coding	RIF	812598	O96109	
PF3D7_0200300	PF3D7_0200300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	protein coding	N/A	812599	O96110	
PF3D7_0200400	PF3D7_0200400.1	stevor	protein coding	N/A	812600	O96111	
PF3D7_0200500	PF3D7_0200500.1	rifin	protein coding	RIF	812601	O96112	
PF3D7_0200600	PF3D7_0200600.1	rifin	protein coding	RIF	812602	O96113	
PF3D7_0200700	PF3D7_0200700.1	rifin	protein coding	RIF	812603	O96114	
PF3D7_0200800	PF3D7_0200800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	N/A	812604	O96115	
PF3D7_0200900	PF3D7_0200900.1	stevor, pseudogene	protein coding	N/A	812605	N/A	
PF3D7_0201000	PF3D7_0201000.1	rifin	protein coding	RIF	812606	O96116	
PF3D7_0201100	PF3D7_0201100.1	Plasmodium exported protein, unknown function, fragment	protein coding	N/A	812607	Q8I670	
PF3D7_0201200	PF3D7_0201200.1	rifin	protein coding	RIF	812608	O96117	
PF3D7_0201300	PF3D7_0201300.1	stevor	protein coding	N/A	812609	O96118	
PF3D7_0201400	PF3D7_0201400.1	Plasmodium exported protein (hyp10), unknown function	protein coding	N/A	812610	O96119	
PF3D7_0201500	PF3D7_0201500.1	Plasmodium exported protein (hyp9), unknown function	protein coding	N/A	812611	O96120	
PF3D7_0201600	PF3D7_0201600.1	PHISTb domain-containing RESA-like protein 1	protein coding	RLP1	812612	O96121	
PF3D7_0201700	PF3D7_0201700.1	DnaJ protein, putative	protein coding	N/A	812613	O96122	
PF3D7_0201800	PF3D7_0201800.1	knob associated heat shock protein 40	protein coding	KAHsp40	812614	O96123	
PF3D7_0201900	PF3D7_0201900.1	erythrocyte membrane protein 3	protein coding	EMP3	812615	O96124	
PF3D7_0202000	PF3D7_0202000.1	knob-associated histidine-rich protein	protein coding	KAHRP	812616	Q9TY99	
PF3D7_0202100	PF3D7_0202100.1	liver stage associated protein 2	protein coding	LSAP2	812617	O96125	
PF3D7_0202200	PF3D7_0202200.1	EMP1-trafficking protein	protein coding	PTP1	812618	Q8I669	
PF3D7_0202300	PF3D7_0202300.1	Plasmodium exported protein (hyp11), unknown function	protein coding	N/A	812619	O96126	
PF3D7_0202400	PF3D7_0202400.1	gamete antigen 27/25, putative	protein coding	N/A	812620	O96127	
PF3D7_0202500	PF3D7_0202500.1	early transcribed membrane protein 2	protein coding	ETRAMP2	812621	O96128	
PF3D7_0202600	PF3D7_0202600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812622	O96129	
PF3D7_0202600	PF3D7_0202600.2	conserved Plasmodium protein, unknown function	protein coding	N/A	812622	O96129	
PF3D7_0202700	PF3D7_0202700.1	octaprenyl pyrophosphate synthase	protein coding	OPP	812623	O96130	
PF3D7_0202800	PF3D7_0202800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	8444950	C6S3A7	
PF3D7_0202900	PF3D7_0202900.1	palmitoyltransferase DHHC12, putative	protein coding	DHHC12	812624	O96132	
PF3D7_0203000	PF3D7_0203000.1	repetitive organellar protein, putative	protein coding	ROPE	812625	O96133	
PF3D7_0203100	PF3D7_0203100.1	protein kinase, putative	protein coding	N/A	812626	O96134	
PF3D7_0203200	PF3D7_0203200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	8445002	C6S3A8	
PF3D7_0203300	PF3D7_0203300.1	ERCC1 nucleotide excision repair protein, putative	protein coding	ERCC1	812627	O96136	
PF3D7_0203400	PF3D7_0203400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812628	Q8I668	
PF3D7_0203500	PF3D7_0203500.1	tRNA Glutamine	tRNA encoding	N/A	N/A	N/A	
PF3D7_0203600	PF3D7_0203600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812629	O96137	
PF3D7_0203700	PF3D7_0203700.1	protein MAK16, putative	protein coding	MAK16	812630	O96138	
PF3D7_0203800	PF3D7_0203800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812632	Q8I666	
PF3D7_0203900	PF3D7_0203900.1	5'-3' exonuclease, N-terminal resolvase-like domain, putative	protein coding	N/A	812633	O96139	
PF3D7_0204000	PF3D7_0204000.1	condensin-2 complex subunit H2, putative	protein coding	N/A	812634	O96140	
PF3D7_0204100	PF3D7_0204100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812635	Q9TY98	
PF3D7_0204200	PF3D7_0204200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812636	Q8I665	
PF3D7_0204300	PF3D7_0204300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812637	O96141	
PF3D7_0204400	PF3D7_0204400.1	dynein light chain, putative	protein coding	N/A	8445026	C6S3A9	
PF3D7_0204500	PF3D7_0204500.1	aspartate transaminase	protein coding	AspAT	812638	O96142	
PF3D7_0204600	PF3D7_0204600.1	5'-3' exonuclease, putative	protein coding	N/A	812639	O96143	
PF3D7_0204700	PF3D7_0204700.1	hexose transporter	protein coding	HT	812640	Q7KWJ5	
PF3D7_0204800	PF3D7_0204800.1	3'-5' exonuclease, putative	protein coding	N/A	812641	O96144	
PF3D7_0204900	PF3D7_0204900.1	ubiE/COQ5 methyltransferase, putative	protein coding	N/A	812642	O96145	
PF3D7_0205000	PF3D7_0205000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812643	O96146	
PF3D7_0205100	PF3D7_0205100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812644,8444953	C6S3B0,O96147	
PF3D7_0205200	PF3D7_0205200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0205300	PF3D7_0205300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812645	O96148	
PF3D7_0205400	PF3D7_0205400.1	PCI domain-containing protein, putative	protein coding	N/A	812646	O96149	
PF3D7_0205500	PF3D7_0205500.1	DNA-directed RNA polymerase II 16 kDa subunit, putative	protein coding	N/A	812647	O96150	
PF3D7_0205600	PF3D7_0205600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812648	O96151	
PF3D7_0205700	PF3D7_0205700.1	RNA-binding protein, putative	protein coding	N/A	812649	O96152	
PF3D7_0205700	PF3D7_0205700.2	RNA-binding protein, putative	protein coding	N/A	812649	O96152	
PF3D7_0205800	PF3D7_0205800.1	PH domain-containing protein, putative	protein coding	PH1	8445016	C6S3B1	
PF3D7_0205900	PF3D7_0205900.1	26S proteasome regulatory subunit RPN1, putative	protein coding	RPN1	812651	O96153	
PF3D7_0206000	PF3D7_0206000.1	DNA repair protein RAD2, putative	protein coding	RAD2	812652	O96154	
PF3D7_0206100	PF3D7_0206100.1	cysteine desulfuration protein SufE	protein coding	SufE	812653	O96155	
PF3D7_0206200	PF3D7_0206200.1	pantothenate transporter	protein coding	PAT	812654	O96156	
PF3D7_0206300	PF3D7_0206300.1	pentafunctional AROM polypeptide, putative, pseudogene	protein coding	AROM	812655,812656	O96157,Q8I663	
PF3D7_0206500	PF3D7_0206500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812657	O96158	
PF3D7_0206600	PF3D7_0206600.1	DNA-directed RNA polymerase III subunit RPC10, putative	protein coding	N/A	812658	O96159	
PF3D7_0206700	PF3D7_0206700.1	adenylosuccinate lyase	protein coding	ASL	812659	Q7KWJ4	
PF3D7_0206800	PF3D7_0206800.1	merozoite surface protein 2	protein coding	MSP2	812660	P50498	
PF3D7_0206900	PF3D7_0206900.1	merozoite surface protein 5	protein coding	MSP5	812661	C6S3B2,Q7KWJ3	
PF3D7_0206900	PF3D7_0206900.2	merozoite surface protein 5	protein coding	MSP5	812661	C6S3B2,Q7KWJ3	
PF3D7_0207000	PF3D7_0207000.1	merozoite surface protein 4	protein coding	MSP4	812662	Q7KWJ2	
PF3D7_0207100	PF3D7_0207100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812663	O96160	
PF3D7_0207200	PF3D7_0207200.1	iron-sulfur assembly protein, putative	protein coding	IscA1	812664	O96161	
PF3D7_0207300	PF3D7_0207300.1	serine repeat antigen 8	protein coding	SERA8	812665	O96162	
PF3D7_0207400	PF3D7_0207400.1	serine repeat antigen 7	protein coding	SERA7	812666	O96163	
PF3D7_0207500	PF3D7_0207500.1	serine repeat antigen 6	protein coding	SERA6	812667	Q9TY96	
PF3D7_0207600	PF3D7_0207600.1	serine repeat antigen 5	protein coding	SERA5	812668	Q9TY95	
PF3D7_0207700	PF3D7_0207700.1	serine repeat antigen 4	protein coding	SERA4	812669	O96164	
PF3D7_0207800	PF3D7_0207800.1	serine repeat antigen 3	protein coding	SERA3	812670	O96165	
PF3D7_0207900	PF3D7_0207900.1	serine repeat antigen 2	protein coding	SERA2	812671	O96166	
PF3D7_0208000	PF3D7_0208000.1	serine repeat antigen 1	protein coding	SERA1	812672	O96167	
PF3D7_0208100	PF3D7_0208100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812673	O96168	
PF3D7_0208200	PF3D7_0208200.1	KRR1 small subunit processome component, putative	protein coding	KRR1	812674	O96169	
PF3D7_0208300	PF3D7_0208300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812675	O96170	
PF3D7_0208400	PF3D7_0208400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	812676	O96171	
PF3D7_0208500	PF3D7_0208500.1	acyl carrier protein	protein coding	ACP	812677	Q7KWJ1	
PF3D7_0208600	PF3D7_0208600.1	ribosome-recycling factor	protein coding	RRF1	812678	O96173	
